restaurant_name,cuisine,rating,number_of_ratings,average_price,number_of_offers,offer_name,area,pure_veg,location,price_num,ratings_count,primary_cuisine,is_veg,num_offers
Burger King,"Burgers, American",4.2,10K+ ratings,₹350 for two,3,"DEAL OF DAY
60% OFF UPTO ₹120
USE STEALDEALABOVE ₹189, Free Medium Fries
NO CODE REQUIREDABOVE ₹549, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,No,Bangalore,350.0,10000.0,Burgers,0,3
Pizza Hut,Pizzas,3.9,5K+ ratings,₹350 for two,2,"50% OFF UPTO ₹100
USE SWIGGYITABOVE ₹189, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,No,Bangalore,350.0,5000.0,Pizzas,0,2
Theobroma,"Desserts, Bakery",4.6,1K+ ratings,₹400 for two,2,"40% OFF UPTO ₹80
USE SPECIALSON SELECT ITEMS, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ashok Nagar,No,Bangalore,400.0,1000.0,Desserts,0,2
Starbucks Coffee,"Beverages, Cafe",4.2,100+ ratings,₹400 for two,3,"40% OFF UPTO ₹80
USE TRYNEWON SELECT ITEMS, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹900, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basaveshwaranagar,No,Bangalore,400.0,100.0,Beverages,0,3
KFC,"Burgers, Biryani",4.2,10K+ ratings,₹400 for two,0,No Offer,Basavanagudi,No,Bangalore,400.0,10000.0,Burgers,0,0
McDonald'S,"Burgers, Beverages",4.4,1K+ ratings,₹400 for two,3,"20% OFF UPTO ₹50
USE TRYNEWON SELECT ITEMS, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹1000, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavangudi,No,Bangalore,400.0,1000.0,Burgers,0,3
Domino'S Pizza,"Pizzas, Italian",4.0,1K+ ratings,₹400 for two,3,"FLAT DEAL
FLAT ₹150 OFF
USE WELCOMEDOM150ABOVE ₹299, FLAT DEAL
FLAT ₹100 OFF
USE FLAT100ABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,No,Bangalore,400.0,1000.0,Pizzas,0,3
Bakingo,"Bakery, Desserts",4.5,1K+ ratings,₹299 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",6th Main Road,No,Bangalore,299.0,1000.0,Bakery,0,1
Lavonne,"Bakery, Desserts",4.6,1K+ ratings,₹750 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",St. Marks Road,No,Bangalore,750.0,1000.0,Bakery,0,1
Vidyarthi Bhavan,South Indian,4.5,10K+ ratings,₹150 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,No,Bangalore,150.0,10000.0,South Indian,0,1
Chaayos Chai+Snacks=Relax,"Bakery, Beverages",4.2,100+ ratings,₹250 for two,4,"60% OFF UPTO ₹120
USE SPECIALSON SELECT ITEMS, FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT DEAL
FLAT ₹200 OFF
USE FLAT200ABOVE ₹799",Magadi Road,No,Bangalore,250.0,100.0,Bakery,0,4
Hari Super Sandwich (3rd Block),"Chaat, Snacks",4.2,10K+ ratings,₹100 for two,4,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹399, FLAT DEAL
FLAT 25% OFF
USE PARTYABOVE ₹600, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,No,Bangalore,100.0,10000.0,Chaat,0,4
Puliyogare Point,South Indian,4.6,10K+ ratings,₹150 for two,4,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹750, SAVE BIG
10% OFF UPTO ₹100
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,150.0,10000.0,South Indian,1,4
Szechuan Dragon,"Chinese, Thai",4.2,10K+ ratings,₹500 for two,5,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹75 OFF
USE SNACKSBINGEABOVE ₹299, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹800, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",HanumanthaNagar,No,Bangalore,500.0,10000.0,Chinese,0,5
Cafe Amudham,"South Indian, Snacks",4.6,1K+ ratings,₹400 for two,3,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,Yes,Bangalore,400.0,1000.0,South Indian,1,3
Ayodhya Upachar,"South Indian, North Indian",4.4,10K+ ratings,₹200 for two,5,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹159, Free Kesari Bath
NO CODE REQUIREDABOVE ₹400, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹800, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹599, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Banashankari,Yes,Bangalore,200.0,10000.0,South Indian,1,5
Richie Rich,"Desserts, Snacks",4.5,10K+ ratings,₹500 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Race Course Road,Yes,Bangalore,500.0,10000.0,Desserts,1,1
Pathaan Sir,"Snacks, Fast Food",3.6,20+ ratings,₹200 for two,4,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹100 OFF
USE SNACKSBINGEABOVE ₹299, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,No,Bangalore,200.0,20.0,Snacks,0,4
Sri Vishnu Grand,"South Indian, North Indian",4.3,100+ ratings,₹200 for two,4,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹900, FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Majestic,Yes,Bangalore,200.0,100.0,South Indian,1,4
Roti Ghar,"Chinese, South Indian",4.3,10K+ ratings,₹400 for two,3,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹800, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,400.0,10000.0,Chinese,1,3
By 2 Coffee,South Indian,4.6,1K+ ratings,₹100 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chamarajpet,Yes,Bangalore,100.0,1000.0,South Indian,1,1
