restaurant_name,cuisine,rating,offer_name,area,pure_veg,location,price_num,ratings_count,primary_cuisine,is_veg,num_offers,avg_rating_by_cuisine,value_index,price_band,demand_index,rating_band,offer_tier,reliable_rating
Burger King,"Burgers, American",4.2,"DEAL OF DAY
60% OFF UPTO ₹120
USE STEALDEALABOVE ₹189, Free Medium Fries
NO CODE REQUIREDABOVE ₹549, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,No,Bangalore,350.0,10000.0,Burgers,0,3,4.06969696969697,1.2,Premium (Rs300-500),1166.0867678958784,Good (4.0-4.5),High (3+),1
Pizza Hut,Pizzas,3.9,"50% OFF UPTO ₹100
USE SWIGGYITABOVE ₹189, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,No,Bangalore,350.0,5000.0,Pizzas,0,2,3.95,1.1143,Premium (Rs300-500),1166.0867678958784,Average (3.5-4.0),Low (1-2),1
Theobroma,"Desserts, Bakery",4.6,"40% OFF UPTO ₹80
USE SPECIALSON SELECT ITEMS, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ashok Nagar,No,Bangalore,400.0,1000.0,Desserts,0,2,4.173720136518772,1.15,Premium (Rs300-500),1166.0867678958784,Excellent (4.5+),Low (1-2),1
Starbucks Coffee,"Beverages, Cafe",4.2,"40% OFF UPTO ₹80
USE TRYNEWON SELECT ITEMS, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹900, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basaveshwaranagar,No,Bangalore,400.0,100.0,Beverages,0,3,4.054568527918781,1.05,Premium (Rs300-500),1166.0867678958784,Good (4.0-4.5),High (3+),1
KFC,"Burgers, Biryani",4.2,No Offer,Basavanagudi,No,Bangalore,400.0,10000.0,Burgers,0,0,4.06969696969697,1.05,Premium (Rs300-500),1166.0867678958784,Good (4.0-4.5),No Offers,1
McDonald'S,"Burgers, Beverages",4.4,"20% OFF UPTO ₹50
USE TRYNEWON SELECT ITEMS, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹1000, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavangudi,No,Bangalore,400.0,1000.0,Burgers,0,3,4.06969696969697,1.1,Premium (Rs300-500),1166.0867678958784,Good (4.0-4.5),High (3+),1
Domino'S Pizza,"Pizzas, Italian",4.0,"FLAT DEAL
FLAT ₹150 OFF
USE WELCOMEDOM150ABOVE ₹299, FLAT DEAL
FLAT ₹100 OFF
USE FLAT100ABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,No,Bangalore,400.0,1000.0,Pizzas,0,3,3.95,1.0,Premium (Rs300-500),1166.0867678958784,Average (3.5-4.0),High (3+),1
Bakingo,"Bakery, Desserts",4.5,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",6Th Main Road,No,Bangalore,299.0,1000.0,Bakery,0,1,4.052369668246445,1.505,Mid (Rs150-300),1166.0867678958784,Good (4.0-4.5),Low (1-2),1
Lavonne,"Bakery, Desserts",4.6,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",St. Marks Road,No,Bangalore,750.0,1000.0,Bakery,0,1,4.052369668246445,0.6133,Luxury (Rs500+),1166.0867678958784,Excellent (4.5+),Low (1-2),1
Vidyarthi Bhavan,South Indian,4.5,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,No,Bangalore,150.0,10000.0,South Indian,0,1,4.09877408056042,3.0,Budget (<Rs150),1166.0867678958784,Good (4.0-4.5),Low (1-2),1
Chaayos Chai+Snacks=Relax,"Bakery, Beverages",4.2,"60% OFF UPTO ₹120
USE SPECIALSON SELECT ITEMS, FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT DEAL
FLAT ₹200 OFF
USE FLAT200ABOVE ₹799",Magadi Road,No,Bangalore,250.0,100.0,Bakery,0,4,4.052369668246445,1.68,Mid (Rs150-300),1166.0867678958784,Good (4.0-4.5),High (3+),1
Hari Super Sandwich (3rd Block),"Chaat, Snacks",4.2,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹399, FLAT DEAL
FLAT 25% OFF
USE PARTYABOVE ₹600, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,No,Bangalore,100.0,10000.0,Chaat,0,4,4.076923076923077,4.2,Budget (<Rs150),1166.0867678958784,Good (4.0-4.5),High (3+),1
Puliyogare Point,South Indian,4.6,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹750, SAVE BIG
10% OFF UPTO ₹100
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,150.0,10000.0,South Indian,1,4,4.09877408056042,3.0667,Budget (<Rs150),1166.0867678958784,Excellent (4.5+),High (3+),1
Szechuan Dragon,"Chinese, Thai",4.2,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹75 OFF
USE SNACKSBINGEABOVE ₹299, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹800, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Hanumanthanagar,No,Bangalore,500.0,10000.0,Chinese,0,5,3.9882028665931646,0.84,Premium (Rs300-500),1166.0867678958784,Good (4.0-4.5),High (3+),1
Cafe Amudham,"South Indian, Snacks",4.6,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,Yes,Bangalore,400.0,1000.0,South Indian,1,3,4.09877408056042,1.15,Premium (Rs300-500),1166.0867678958784,Excellent (4.5+),High (3+),1
